#ASTEX case using prescribed vertical grid, Nlev = 427 1 date=04/04/09
height(m)   thl(K)     qt(kg/kg)       u(m/s)     v(m/s)     tke(m2/s2)
      2162.50      294.435      5.396E-06      -2.4471      -6.9472      0.0000
      2167.50      294.452      5.387E-06      -2.4347      -6.9468      0.0000
      2172.50      294.470      5.378E-06      -2.4222      -6.9464      0.0000
      2177.50      294.487      5.369E-06      -2.4097      -6.9460      0.0000
      2182.50      294.505      5.360E-06      -2.3972      -6.9457      0.0000
      2187.50      294.523      5.351E-06      -2.3846      -6.9454      0.0000
      2192.50      294.541      5.342E-06      -2.3720      -6.9450      0.0000
      2197.50      294.559      5.333E-06      -2.3593      -6.9447      0.0000
      2202.50      294.577      5.324E-06      -2.3466      -6.9444      0.0000
      2207.50      294.595      5.315E-06      -2.3338      -6.9441      0.0000
      2212.50      294.614      5.307E-06      -2.3210      -6.9438      0.0000
      2217.50      294.632      5.298E-06      -2.3081      -6.9436      0.0000
      2222.50      294.651      5.289E-06      -2.2952      -6.9433      0.0000
      2227.50      294.670      5.281E-06      -2.2823      -6.9430      0.0000
      2232.50      294.688      5.272E-06      -2.2693      -6.9428      0.0000
      2237.50      294.707      5.264E-06      -2.2563      -6.9426      0.0000
      2242.50      294.727      5.256E-06      -2.2433      -6.9423      0.0000
      2247.50      294.746      5.247E-06      -2.2302      -6.9421      0.0000
      2252.50      294.765      5.239E-06      -2.2171      -6.9419      0.0000
      2257.50      294.785      5.231E-06      -2.2039      -6.9417      0.0000
      2262.50      294.804      5.222E-06      -2.1907      -6.9415      0.0000
      2267.50      294.824      5.214E-06      -2.1775      -6.9413      0.0000
      2272.50      294.843      5.206E-06      -2.1642      -6.9411      0.0000
      2277.50      294.863      5.198E-06      -2.1509      -6.9410      0.0000
      2282.50      294.883      5.190E-06      -2.1376      -6.9408      0.0000
      2287.50      294.903      5.182E-06      -2.1242      -6.9406      0.0000
      2292.50      294.924      5.174E-06      -2.1108      -6.9405      0.0000
      2297.50      294.944      5.166E-06      -2.0974      -6.9403      0.0000
      2302.50      294.964      5.158E-06      -2.0839      -6.9402      0.0000
      2307.50      294.985      5.151E-06      -2.0704      -6.9401      0.0000
      2312.50      295.006      5.143E-06      -2.0569      -6.9400      0.0000
      2317.50      295.026      5.135E-06      -2.0433      -6.9398      0.0000
      2322.50      295.047      5.127E-06      -2.0297      -6.9397      0.0000
      2327.50      295.068      5.120E-06      -2.0161      -6.9396      0.0000
      2332.50      295.089      5.112E-06      -2.0025      -6.9395      0.0000
      2337.50      295.110      5.105E-06      -1.9888      -6.9394      0.0000
      2342.50      295.131      5.097E-06      -1.9751      -6.9393      0.0000
      2347.50      295.153      5.090E-06      -1.9614      -6.9392      0.0000
      2352.50      295.174      5.082E-06      -1.9477      -6.9392      0.0000
      2357.50      295.196      5.075E-06      -1.9339      -6.9391      0.0000
      2362.50      295.217      5.068E-06      -1.9201      -6.9390      0.0000
      2367.50      295.239      5.060E-06      -1.9063      -6.9390      0.0000
      2372.50      295.261      5.053E-06      -1.8925      -6.9389      0.0000
      2377.50      295.283      5.046E-06      -1.8786      -6.9388      0.0000
      2382.50      295.305      5.039E-06      -1.8647      -6.9388      0.0000
      2387.50      295.327      5.031E-06      -1.8508      -6.9387      0.0000
      2392.50      295.349      5.024E-06      -1.8369      -6.9387      0.0000
      2397.50      295.371      5.017E-06      -1.8229      -6.9387      0.0000
      2402.76      295.395      5.010E-06      -1.8083      -6.9386      0.0000
      2408.55      295.421      5.002E-06      -1.7921      -6.9386      0.0000
      2414.89      295.449      4.993E-06      -1.7743      -6.9385      0.0000
      2421.84      295.481      4.983E-06      -1.7548      -6.9385      0.0000
      2429.44      295.515      4.973E-06      -1.7334      -6.9385      0.0000
      2437.76      295.554      4.962E-06      -1.7100      -6.9385      0.0000
